,Relation Type,PAN Given,Financial Year,Total Income Shown in ITR
0,self,Y,2021 - 2022,"2021 - 2022 ** Rs 13,67,130 ~ 13 Lacs+ 2020 - 2021 ** Rs 16,27,000 ~ 16 Lacs+ 2019 - 2020 ** Rs 22,06,500 ~ 22 Lacs+ 2018 - 2019 ** Rs 13,14,860 ~ 13 Lacs+ 2017 - 2018 ** Rs 19,45,630 ~ 19 Lacs+"
1,spouse,Y,2020 - 2021,"2020 - 2021 ** Rs 11,26,530 ~ 11 Lacs+ 2019 - 2020 ** Rs 10,06,610 ~ 10 Lacs+ 2018 - 2019 ** Rs 9,51,919 ~ 9 Lacs+ 2017 - 2018 ** Rs 9,89,131 ~ 9 Lacs+ 2016 - 2017 ** Rs 9,11,233 ~ 9 Lacs+"
2,huf,Y,2020 - 2021,"2020 - 2021 ** Rs 4,99,540 ~ 4 Lacs+ 2019 - 2020 ** Rs 5,96,576 ~ 5 Lacs+ 2018 - 2019 ** Rs 6,71,718 ~ 6 Lacs+ 2017 - 2018 ** Rs 5,88,331 ~ 5 Lacs+ 2016 - 2017 ** Rs 14,38,951 ~ 14 Lacs+"
3,dependent1,N,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
4,dependent2,N,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
5,dependent3,N,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
